model,scramble,solve_rate,avg_steps
ppo_cube_106801920_steps.zip,7,0.69,29.73913043478261
ppo_cube_106801920_steps.zip,10,0.51,115.58823529411765
ppo_cube_106801920_steps.zip,12,0.47,132.08510638297872
ppo_cube_106801920_steps.zip,15,0.33,241.6969696969697
ppo_cube_106801920_steps.zip,17,0.35,248.2
ppo_cube_106801920_steps.zip,20,0.28,368.92857142857144
ppo_cube_106801920_steps.zip,25,0.16,717.75
ppo_cube_107601920_steps.zip,1,1.0,1.0
ppo_cube_107601920_steps.zip,2,0.92,1.6521739130434783
ppo_cube_107601920_steps.zip,3,0.94,1.946808510638298
ppo_cube_107601920_steps.zip,5,0.87,12.919540229885058
ppo_cube_107601920_steps.zip,7,0.64,54.953125
ppo_cube_107601920_steps.zip,10,0.58,75.91379310344827
ppo_cube_107601920_steps.zip,12,0.38,194.10526315789474
ppo_cube_107601920_steps.zip,15,0.34,251.0
ppo_cube_107601920_steps.zip,17,0.26,368.88461538461536
ppo_cube_107601920_steps.zip,20,0.3,329.8666666666667
ppo_cube_107601920_steps.zip,25,0.15,737.0666666666667
ppo_cube_108401920_steps.zip,1,1.0,1.0
ppo_cube_108401920_steps.zip,2,0.93,3.193548387096774
ppo_cube_108401920_steps.zip,3,0.93,5.096774193548387
ppo_cube_108401920_steps.zip,5,0.83,21.14457831325301
ppo_cube_108401920_steps.zip,7,0.68,34.794117647058826
ppo_cube_108401920_steps.zip,10,0.55,109.76363636363637
ppo_cube_108401920_steps.zip,12,0.54,114.48148148148148
ppo_cube_108401920_steps.zip,15,0.36,233.0
ppo_cube_108401920_steps.zip,17,0.34,259.97058823529414
ppo_cube_108401920_steps.zip,20,0.21,539.3333333333334
ppo_cube_108401920_steps.zip,25,0.23,498.4347826086956
ppo_cube_109201920_steps.zip,1,1.0,1.0
ppo_cube_109201920_steps.zip,2,0.96,1.53125
ppo_cube_109201920_steps.zip,3,0.94,2.021276595744681
ppo_cube_109201920_steps.zip,5,0.82,12.134146341463415
ppo_cube_109201920_steps.zip,7,0.71,34.985915492957744
ppo_cube_109201920_steps.zip,10,0.54,109.51851851851852
ppo_cube_109201920_steps.zip,12,0.41,183.70731707317074
ppo_cube_109201920_steps.zip,15,0.37,195.3783783783784
ppo_cube_109201920_steps.zip,17,0.35,256.42857142857144
ppo_cube_109201920_steps.zip,20,0.26,397.4230769230769
ppo_cube_109201920_steps.zip,25,0.16,736.125
ppo_cube_110001920_steps.zip,1,1.0,1.0
ppo_cube_110001920_steps.zip,2,0.97,1.5360824742268042
ppo_cube_110001920_steps.zip,3,0.91,2.098901098901099
ppo_cube_110001920_steps.zip,5,0.79,21.82278481012658
ppo_cube_110001920_steps.zip,7,0.68,43.661764705882355
ppo_cube_110001920_steps.zip,10,0.57,74.59649122807018
ppo_cube_110001920_steps.zip,12,0.48,113.66666666666667
ppo_cube_110001920_steps.zip,15,0.33,276.4848484848485
ppo_cube_110001920_steps.zip,17,0.33,267.8181818181818
ppo_cube_110001920_steps.zip,20,0.25,412.4
ppo_cube_110001920_steps.zip,25,0.21,539.3809523809524
ppo_cube_110801920_steps.zip,1,1.0,1.0
ppo_cube_110801920_steps.zip,2,0.92,1.5978260869565217
ppo_cube_110801920_steps.zip,3,0.97,1.7525773195876289
ppo_cube_110801920_steps.zip,5,0.77,24.415584415584416
ppo_cube_110801920_steps.zip,7,0.67,41.507462686567166
ppo_cube_110801920_steps.zip,10,0.56,81.42857142857143
ppo_cube_110801920_steps.zip,12,0.41,190.4878048780488
ppo_cube_110801920_steps.zip,15,0.33,272.3030303030303
ppo_cube_110801920_steps.zip,17,0.28,347.14285714285717
ppo_cube_110801920_steps.zip,20,0.26,367.7307692307692
ppo_cube_110801920_steps.zip,25,0.14,821.0714285714286
ppo_cube_111601920_steps.zip,1,1.0,1.0
ppo_cube_111601920_steps.zip,2,0.9,1.5555555555555556
ppo_cube_111601920_steps.zip,3,0.89,2.067415730337079
ppo_cube_111601920_steps.zip,5,0.79,19.860759493670887
ppo_cube_111601920_steps.zip,7,0.68,32.35294117647059
ppo_cube_111601920_steps.zip,10,0.53,94.43396226415095
ppo_cube_111601920_steps.zip,12,0.4,183.7
ppo_cube_111601920_steps.zip,15,0.38,224.47368421052633
ppo_cube_111601920_steps.zip,17,0.32,275.78125
ppo_cube_111601920_steps.zip,20,0.25,424.44
ppo_cube_111601920_steps.zip,25,0.27,392.22222222222223
ppo_cube_112401920_steps.zip,1,1.0,1.0
ppo_cube_112401920_steps.zip,2,0.97,1.577319587628866
ppo_cube_112401920_steps.zip,3,0.95,1.8210526315789475
ppo_cube_112401920_steps.zip,5,0.73,32.342465753424655
ppo_cube_112401920_steps.zip,7,0.71,43.49295774647887
ppo_cube_112401920_steps.zip,10,0.55,80.30909090909091
ppo_cube_112401920_steps.zip,12,0.39,196.10256410256412
ppo_cube_112401920_steps.zip,15,0.36,237.69444444444446
ppo_cube_112401920_steps.zip,17,0.28,330.57142857142856
ppo_cube_112401920_steps.zip,20,0.29,315.37931034482756
ppo_cube_112401920_steps.zip,25,0.2,551.35
ppo_cube_113201920_steps.zip,1,1.0,1.0
ppo_cube_113201920_steps.zip,2,0.98,1.489795918367347
ppo_cube_113201920_steps.zip,3,0.92,3.5543478260869565
ppo_cube_113201920_steps.zip,5,0.91,7.4945054945054945
ppo_cube_113201920_steps.zip,7,0.57,67.01754385964912
ppo_cube_113201920_steps.zip,10,0.49,125.57142857142857
ppo_cube_113201920_steps.zip,12,0.49,138.22448979591837
ppo_cube_113201920_steps.zip,15,0.38,197.6315789473684
ppo_cube_113201920_steps.zip,17,0.31,304.1290322580645
ppo_cube_113201920_steps.zip,20,0.41,187.3658536585366
ppo_cube_113201920_steps.zip,25,0.24,441.7916666666667
ppo_cube_114001920_steps.zip,1,1.0,1.0
ppo_cube_114001920_steps.zip,2,0.97,1.4948453608247423
ppo_cube_114001920_steps.zip,3,0.91,1.978021978021978
ppo_cube_114001920_steps.zip,5,0.84,13.857142857142858
ppo_cube_114001920_steps.zip,7,0.56,68.14285714285714
ppo_cube_114001920_steps.zip,10,0.53,108.54716981132076
ppo_cube_114001920_steps.zip,12,0.36,185.36111111111111
ppo_cube_114001920_steps.zip,15,0.38,212.8684210526316
ppo_cube_114001920_steps.zip,17,0.4,209.775
ppo_cube_114001920_steps.zip,20,0.3,309.73333333333335
ppo_cube_114001920_steps.zip,25,0.23,461.4782608695652
ppo_cube_114801920_steps.zip,1,1.0,1.0
ppo_cube_114801920_steps.zip,2,0.92,1.4891304347826086
ppo_cube_114801920_steps.zip,3,0.93,2.043010752688172
ppo_cube_114801920_steps.zip,5,0.8,18.0
ppo_cube_114801920_steps.zip,7,0.75,27.506666666666668
ppo_cube_114801920_steps.zip,10,0.53,111.47169811320755
ppo_cube_114801920_steps.zip,12,0.37,210.67567567567568
ppo_cube_114801920_steps.zip,15,0.39,208.33333333333334
ppo_cube_114801920_steps.zip,17,0.2,544.7
ppo_cube_114801920_steps.zip,20,0.24,461.2916666666667
ppo_cube_114801920_steps.zip,25,0.18,637.6111111111111
ppo_cube_115601920_steps.zip,1,1.0,1.0
ppo_cube_115601920_steps.zip,2,0.94,1.5638297872340425
ppo_cube_115601920_steps.zip,3,0.89,2.202247191011236
ppo_cube_115601920_steps.zip,5,0.85,7.964705882352941
ppo_cube_115601920_steps.zip,7,0.75,37.333333333333336
ppo_cube_115601920_steps.zip,10,0.52,118.67307692307692
ppo_cube_115601920_steps.zip,12,0.56,97.85714285714286
ppo_cube_115601920_steps.zip,15,0.44,160.3409090909091
ppo_cube_115601920_steps.zip,17,0.3,303.5
ppo_cube_115601920_steps.zip,20,0.26,402.11538461538464
ppo_cube_115601920_steps.zip,25,0.21,547.2857142857143
ppo_cube_116401920_steps.zip,1,1.0,1.0
ppo_cube_116401920_steps.zip,2,0.91,1.7362637362637363
ppo_cube_116401920_steps.zip,3,0.93,2.096774193548387
ppo_cube_116401920_steps.zip,5,0.82,15.548780487804878
ppo_cube_116401920_steps.zip,7,0.74,29.756756756756758
ppo_cube_116401920_steps.zip,10,0.52,102.11538461538461
ppo_cube_116401920_steps.zip,12,0.42,175.52380952380952
ppo_cube_116401920_steps.zip,15,0.33,255.5151515151515
ppo_cube_116401920_steps.zip,17,0.41,197.4878048780488
ppo_cube_116401920_steps.zip,20,0.32,299.3125
ppo_cube_116401920_steps.zip,25,0.26,390.84615384615387
ppo_cube_117201920_steps.zip,1,1.0,1.0
ppo_cube_117201920_steps.zip,2,0.96,1.6041666666666667
ppo_cube_117201920_steps.zip,3,0.91,1.8461538461538463
ppo_cube_117201920_steps.zip,5,0.81,9.049382716049383
ppo_cube_117201920_steps.zip,7,0.74,31.594594594594593
ppo_cube_117201920_steps.zip,10,0.5,112.14
ppo_cube_117201920_steps.zip,12,0.38,186.1315789473684
ppo_cube_117201920_steps.zip,15,0.33,272.42424242424244
ppo_cube_117201920_steps.zip,17,0.3,328.06666666666666
ppo_cube_117201920_steps.zip,20,0.3,294.5
ppo_cube_117201920_steps.zip,25,0.23,460.39130434782606
ppo_cube_118001920_steps.zip,1,1.0,1.0
ppo_cube_118001920_steps.zip,2,0.96,1.5625
ppo_cube_118001920_steps.zip,3,0.92,2.0869565217391304
ppo_cube_118001920_steps.zip,5,0.84,11.892857142857142
ppo_cube_118001920_steps.zip,7,0.64,48.40625
ppo_cube_118001920_steps.zip,10,0.56,92.5
ppo_cube_118001920_steps.zip,12,0.45,157.46666666666667
ppo_cube_118001920_steps.zip,15,0.39,196.66666666666666
ppo_cube_118001920_steps.zip,17,0.36,237.02777777777777
ppo_cube_118001920_steps.zip,20,0.28,357.35714285714283
ppo_cube_118001920_steps.zip,25,0.23,460.7826086956522
ppo_cube_118801920_steps.zip,1,1.0,1.0
ppo_cube_118801920_steps.zip,2,0.94,1.6063829787234043
ppo_cube_118801920_steps.zip,3,0.94,2.0106382978723403
ppo_cube_118801920_steps.zip,5,0.79,14.177215189873417
ppo_cube_118801920_steps.zip,7,0.65,49.76923076923077
ppo_cube_118801920_steps.zip,10,0.54,111.5
ppo_cube_118801920_steps.zip,12,0.45,144.24444444444444
ppo_cube_118801920_steps.zip,15,0.35,231.88571428571427
ppo_cube_118801920_steps.zip,17,0.26,390.88461538461536
ppo_cube_118801920_steps.zip,20,0.32,275.5
ppo_cube_118801920_steps.zip,25,0.2,537.15
ppo_cube_119601920_steps.zip,1,1.0,1.0
ppo_cube_119601920_steps.zip,2,0.95,1.7263157894736842
ppo_cube_119601920_steps.zip,3,0.91,2.0
ppo_cube_119601920_steps.zip,5,0.84,11.630952380952381
ppo_cube_119601920_steps.zip,7,0.74,37.7027027027027
ppo_cube_119601920_steps.zip,10,0.46,128.7391304347826
ppo_cube_119601920_steps.zip,12,0.49,132.3673469387755
ppo_cube_119601920_steps.zip,15,0.35,231.68571428571428
ppo_cube_119601920_steps.zip,17,0.24,416.625
ppo_cube_119601920_steps.zip,20,0.24,435.4166666666667
ppo_cube_119601920_steps.zip,25,0.21,511.85714285714283
ppo_cube_120401920_steps.zip,1,1.0,1.0
ppo_cube_120401920_steps.zip,2,0.96,1.5104166666666667
ppo_cube_120401920_steps.zip,3,0.97,1.907216494845361
ppo_cube_120401920_steps.zip,5,0.85,16.611764705882354
ppo_cube_120401920_steps.zip,7,0.64,46.3125
ppo_cube_120401920_steps.zip,10,0.56,94.89285714285714
ppo_cube_120401920_steps.zip,12,0.53,111.26415094339623
ppo_cube_120401920_steps.zip,15,0.32,258.0
ppo_cube_120401920_steps.zip,17,0.39,207.74358974358975
ppo_cube_120401920_steps.zip,20,0.26,390.96153846153845
ppo_cube_120401920_steps.zip,25,0.27,348.74074074074076
ppo_cube_121201920_steps.zip,1,1.0,1.0
ppo_cube_121201920_steps.zip,2,0.93,1.5913978494623655
ppo_cube_121201920_steps.zip,3,0.91,5.329670329670329
ppo_cube_121201920_steps.zip,5,0.83,10.25301204819277
ppo_cube_121201920_steps.zip,7,0.69,46.95652173913044
ppo_cube_121201920_steps.zip,10,0.51,106.94117647058823
ppo_cube_121201920_steps.zip,12,0.52,99.03846153846153
ppo_cube_121201920_steps.zip,15,0.3,290.1
ppo_cube_121201920_steps.zip,17,0.3,309.56666666666666
ppo_cube_121201920_steps.zip,20,0.22,489.1363636363636
ppo_cube_121201920_steps.zip,25,0.15,795.5333333333333
ppo_cube_122001920_steps.zip,1,1.0,1.0
ppo_cube_122001920_steps.zip,2,0.95,1.5473684210526315
ppo_cube_122001920_steps.zip,3,0.94,2.0851063829787235
ppo_cube_122001920_steps.zip,5,0.89,7.606741573033708
ppo_cube_122001920_steps.zip,7,0.71,32.84507042253521
ppo_cube_122001920_steps.zip,10,0.58,89.37931034482759
ppo_cube_122001920_steps.zip,12,0.47,135.2127659574468
ppo_cube_122001920_steps.zip,15,0.31,294.51612903225805
ppo_cube_122001920_steps.zip,17,0.31,303.64516129032256
ppo_cube_122001920_steps.zip,20,0.26,396.11538461538464
ppo_cube_122001920_steps.zip,25,0.18,647.5555555555555
ppo_cube_122801920_steps.zip,1,1.0,1.0
ppo_cube_122801920_steps.zip,2,0.91,1.5054945054945055
ppo_cube_122801920_steps.zip,3,0.94,1.872340425531915
ppo_cube_122801920_steps.zip,5,0.85,8.24705882352941
ppo_cube_122801920_steps.zip,7,0.69,44.72463768115942
ppo_cube_122801920_steps.zip,10,0.58,92.01724137931035
ppo_cube_122801920_steps.zip,12,0.5,117.78
ppo_cube_122801920_steps.zip,15,0.36,237.83333333333334
ppo_cube_122801920_steps.zip,17,0.33,267.7878787878788
ppo_cube_122801920_steps.zip,20,0.29,355.7241379310345
ppo_cube_122801920_steps.zip,25,0.2,574.2
ppo_cube_123601920_steps.zip,1,1.0,1.0
ppo_cube_123601920_steps.zip,2,0.91,1.5714285714285714
ppo_cube_123601920_steps.zip,3,0.91,3.7252747252747254
ppo_cube_123601920_steps.zip,5,0.88,12.818181818181818
ppo_cube_123601920_steps.zip,7,0.64,48.125
ppo_cube_123601920_steps.zip,10,0.52,79.96153846153847
ppo_cube_123601920_steps.zip,12,0.44,167.0909090909091
ppo_cube_123601920_steps.zip,15,0.41,194.41463414634146
ppo_cube_123601920_steps.zip,17,0.27,333.14814814814815
ppo_cube_123601920_steps.zip,20,0.33,298.8181818181818
ppo_cube_123601920_steps.zip,25,0.17,641.4705882352941
ppo_cube_124401920_steps.zip,1,1.0,1.0
ppo_cube_124401920_steps.zip,2,0.94,1.553191489361702
ppo_cube_124401920_steps.zip,3,0.9,1.9333333333333333
ppo_cube_124401920_steps.zip,5,0.8,17.8625
ppo_cube_124401920_steps.zip,7,0.66,46.75757575757576
ppo_cube_124401920_steps.zip,10,0.52,99.13461538461539
ppo_cube_124401920_steps.zip,12,0.45,131.64444444444445
ppo_cube_124401920_steps.zip,15,0.31,266.96774193548384
ppo_cube_124401920_steps.zip,17,0.31,304.06451612903226
ppo_cube_124401920_steps.zip,20,0.25,425.16
ppo_cube_124401920_steps.zip,25,0.24,459.3333333333333
ppo_cube_125201920_steps.zip,1,1.0,1.0
ppo_cube_125201920_steps.zip,2,0.95,1.5578947368421052
ppo_cube_125201920_steps.zip,3,0.95,2.0631578947368423
ppo_cube_125201920_steps.zip,5,0.77,18.68831168831169
ppo_cube_125201920_steps.zip,7,0.69,42.2463768115942
ppo_cube_125201920_steps.zip,10,0.56,97.07142857142857
ppo_cube_125201920_steps.zip,12,0.47,135.68085106382978
ppo_cube_125201920_steps.zip,15,0.34,272.8529411764706
ppo_cube_125201920_steps.zip,17,0.37,226.6216216216216
ppo_cube_125201920_steps.zip,20,0.32,272.03125
ppo_cube_125201920_steps.zip,25,0.26,373.3076923076923
ppo_cube_126001920_steps.zip,1,1.0,1.0
ppo_cube_126001920_steps.zip,2,0.96,1.6354166666666667
ppo_cube_126001920_steps.zip,3,0.93,2.021505376344086
ppo_cube_126001920_steps.zip,5,0.82,24.365853658536587
ppo_cube_126001920_steps.zip,7,0.61,60.0655737704918
