model,scramble,solve_rate,avg_steps
ppo_cube_133201920_steps.zip,25,0.23,473.0
ppo_cube_134001920_steps.zip,1,1.0,1.0
ppo_cube_134001920_steps.zip,2,0.94,1.6063829787234043
ppo_cube_134001920_steps.zip,3,0.91,3.67032967032967
ppo_cube_134001920_steps.zip,5,0.8,12.4125
ppo_cube_134001920_steps.zip,7,0.69,44.89855072463768
ppo_cube_134001920_steps.zip,10,0.62,62.12903225806452
ppo_cube_134001920_steps.zip,12,0.48,132.25
ppo_cube_134001920_steps.zip,15,0.39,196.89743589743588
ppo_cube_134001920_steps.zip,17,0.25,371.36
ppo_cube_134001920_steps.zip,20,0.29,340.3103448275862
ppo_cube_134001920_steps.zip,25,0.24,435.75
ppo_cube_135601920_steps.zip,1,1.0,1.0
ppo_cube_135601920_steps.zip,2,0.9,1.6777777777777778
ppo_cube_135601920_steps.zip,3,0.93,1.989247311827957
ppo_cube_135601920_steps.zip,5,0.77,16.506493506493506
ppo_cube_135601920_steps.zip,7,0.72,40.93055555555556
ppo_cube_135601920_steps.zip,10,0.49,123.22448979591837
ppo_cube_135601920_steps.zip,12,0.47,150.91489361702128
ppo_cube_135601920_steps.zip,15,0.36,208.75
ppo_cube_135601920_steps.zip,17,0.25,430.08
ppo_cube_135601920_steps.zip,20,0.28,352.14285714285717
ppo_cube_135601920_steps.zip,25,0.24,428.9583333333333
ppo_cube_136401920_steps.zip,1,1.0,1.0
ppo_cube_136401920_steps.zip,2,0.93,1.5591397849462365
ppo_cube_136401920_steps.zip,3,0.88,2.125
ppo_cube_136401920_steps.zip,5,0.85,9.776470588235295
ppo_cube_136401920_steps.zip,7,0.74,33.891891891891895
ppo_cube_136401920_steps.zip,10,0.6,88.46666666666667
ppo_cube_136401920_steps.zip,12,0.37,210.8918918918919
ppo_cube_136401920_steps.zip,15,0.41,176.0487804878049
ppo_cube_136401920_steps.zip,17,0.39,211.51282051282053
ppo_cube_136401920_steps.zip,20,0.28,346.67857142857144
ppo_cube_136401920_steps.zip,25,0.22,508.5
ppo_cube_137201920_steps.zip,1,1.0,1.0
ppo_cube_137201920_steps.zip,2,0.94,1.5957446808510638
ppo_cube_137201920_steps.zip,3,0.91,2.1758241758241756
ppo_cube_137201920_steps.zip,5,0.87,7.931034482758621
ppo_cube_137201920_steps.zip,7,0.72,36.56944444444444
ppo_cube_137201920_steps.zip,10,0.48,134.66666666666666
ppo_cube_137201920_steps.zip,12,0.44,169.97727272727272
ppo_cube_137201920_steps.zip,15,0.37,223.64864864864865
ppo_cube_137201920_steps.zip,17,0.24,423.0833333333333
ppo_cube_137201920_steps.zip,20,0.28,368.35714285714283
ppo_cube_137201920_steps.zip,25,0.24,448.1666666666667
ppo_cube_138001920_steps.zip,1,1.0,1.0
ppo_cube_138001920_steps.zip,2,0.94,1.6170212765957446
ppo_cube_138001920_steps.zip,3,0.91,2.142857142857143
ppo_cube_138001920_steps.zip,5,0.83,6.566265060240964
ppo_cube_138001920_steps.zip,7,0.77,26.818181818181817
ppo_cube_138001920_steps.zip,10,0.49,114.3265306122449
ppo_cube_138001920_steps.zip,12,0.49,108.53061224489795
ppo_cube_138001920_steps.zip,15,0.46,169.7608695652174
ppo_cube_138001920_steps.zip,17,0.43,168.02325581395348
ppo_cube_138001920_steps.zip,20,0.28,357.75
ppo_cube_138001920_steps.zip,25,0.27,381.1111111111111
ppo_cube_138801920_steps.zip,1,1.0,1.0
ppo_cube_138801920_steps.zip,2,0.94,1.4893617021276595
ppo_cube_138801920_steps.zip,3,0.94,2.021276595744681
ppo_cube_138801920_steps.zip,5,0.86,6.395348837209302
ppo_cube_138801920_steps.zip,7,0.69,40.95652173913044
ppo_cube_138801920_steps.zip,10,0.58,91.55172413793103
ppo_cube_138801920_steps.zip,12,0.44,150.5681818181818
ppo_cube_138801920_steps.zip,15,0.3,290.0
ppo_cube_138801920_steps.zip,17,0.37,222.9189189189189
ppo_cube_138801920_steps.zip,20,0.29,335.7586206896552
ppo_cube_138801920_steps.zip,25,0.21,518.2380952380952
ppo_cube_139601920_steps.zip,1,1.0,1.0
ppo_cube_139601920_steps.zip,2,0.95,1.694736842105263
ppo_cube_139601920_steps.zip,3,0.95,1.8842105263157896
ppo_cube_139601920_steps.zip,5,0.88,14.488636363636363
ppo_cube_139601920_steps.zip,7,0.7,31.357142857142858
ppo_cube_139601920_steps.zip,10,0.5,126.46
ppo_cube_139601920_steps.zip,12,0.49,123.3265306122449
ppo_cube_139601920_steps.zip,15,0.43,177.8139534883721
ppo_cube_139601920_steps.zip,17,0.31,299.5483870967742
ppo_cube_139601920_steps.zip,20,0.25,424.84
ppo_cube_139601920_steps.zip,25,0.23,461.17391304347825
ppo_cube_140401920_steps.zip,1,1.0,1.0
ppo_cube_140401920_steps.zip,2,0.89,1.595505617977528
ppo_cube_140401920_steps.zip,3,0.97,2.0618556701030926
ppo_cube_140401920_steps.zip,5,0.81,14.098765432098766
ppo_cube_140401920_steps.zip,7,0.67,46.64179104477612
ppo_cube_140401920_steps.zip,10,0.56,91.92857142857143
ppo_cube_140401920_steps.zip,12,0.38,198.1578947368421
ppo_cube_140401920_steps.zip,15,0.35,253.02857142857144
ppo_cube_140401920_steps.zip,17,0.35,239.62857142857143
ppo_cube_140401920_steps.zip,20,0.33,285.54545454545456
ppo_cube_140401920_steps.zip,25,0.2,552.95
ppo_cube_141201920_steps.zip,1,1.0,1.0
ppo_cube_141201920_steps.zip,2,0.92,1.7065217391304348
ppo_cube_141201920_steps.zip,3,0.95,1.8210526315789475
ppo_cube_141201920_steps.zip,5,0.75,23.12
ppo_cube_141201920_steps.zip,7,0.68,34.73529411764706
ppo_cube_141201920_steps.zip,10,0.48,116.47916666666667
ppo_cube_141201920_steps.zip,12,0.31,265.9032258064516
ppo_cube_141201920_steps.zip,15,0.39,218.7948717948718
ppo_cube_141201920_steps.zip,17,0.3,328.5
ppo_cube_141201920_steps.zip,20,0.24,417.1666666666667
ppo_cube_141201920_steps.zip,25,0.22,515.7727272727273
ppo_cube_50801920_steps.zip,1,1.0,1.0
ppo_cube_50801920_steps.zip,2,0.93,1.6129032258064515
ppo_cube_50801920_steps.zip,3,0.92,2.1847826086956523
ppo_cube_50801920_steps.zip,5,0.82,17.475609756097562
ppo_cube_50801920_steps.zip,7,0.66,46.56060606060606
ppo_cube_50801920_steps.zip,10,0.39,173.64102564102564
ppo_cube_50801920_steps.zip,12,0.48,119.85416666666667
ppo_cube_50801920_steps.zip,15,0.36,241.05555555555554
ppo_cube_50801920_steps.zip,17,0.24,417.6666666666667
ppo_cube_50801920_steps.zip,20,0.28,357.67857142857144
ppo_cube_50801920_steps.zip,25,0.2,552.55
ppo_cube_51601920_steps.zip,1,1.0,1.0
ppo_cube_51601920_steps.zip,2,0.94,1.5851063829787233
ppo_cube_51601920_steps.zip,3,0.88,3.8636363636363638
ppo_cube_51601920_steps.zip,5,0.77,18.883116883116884
ppo_cube_51601920_steps.zip,7,0.63,56.01587301587302
ppo_cube_51601920_steps.zip,10,0.47,125.93617021276596
ppo_cube_51601920_steps.zip,12,0.47,134.53191489361703
ppo_cube_51601920_steps.zip,15,0.34,242.97058823529412
ppo_cube_51601920_steps.zip,17,0.33,277.1515151515151
ppo_cube_51601920_steps.zip,20,0.26,362.65384615384613
ppo_cube_51601920_steps.zip,25,0.16,744.75
ppo_cube_52401920_steps.zip,1,1.0,1.0
ppo_cube_52401920_steps.zip,2,0.89,1.6404494382022472
ppo_cube_52401920_steps.zip,3,0.91,2.021978021978022
ppo_cube_52401920_steps.zip,5,0.72,26.27777777777778
ppo_cube_52401920_steps.zip,7,0.57,59.21052631578947
ppo_cube_52401920_steps.zip,10,0.42,161.52380952380952
ppo_cube_52401920_steps.zip,12,0.44,150.86363636363637
ppo_cube_52401920_steps.zip,15,0.26,378.9230769230769
ppo_cube_52401920_steps.zip,17,0.3,329.4
ppo_cube_52401920_steps.zip,20,0.27,370.51851851851853
ppo_cube_52401920_steps.zip,25,0.16,763.75
ppo_cube_53201920_steps.zip,1,1.0,1.0
ppo_cube_53201920_steps.zip,2,0.9,1.6111111111111112
ppo_cube_53201920_steps.zip,3,0.91,2.131868131868132
ppo_cube_53201920_steps.zip,5,0.8,17.9375
ppo_cube_53201920_steps.zip,7,0.59,74.9322033898305
ppo_cube_53201920_steps.zip,10,0.49,117.42857142857143
ppo_cube_53201920_steps.zip,12,0.41,150.82926829268294
ppo_cube_53201920_steps.zip,15,0.33,245.42424242424244
ppo_cube_53201920_steps.zip,17,0.35,256.0571428571429
ppo_cube_53201920_steps.zip,20,0.18,638.5
ppo_cube_53201920_steps.zip,25,0.16,708.25
ppo_cube_54001920_steps.zip,1,1.0,1.0
ppo_cube_54001920_steps.zip,2,0.93,1.6559139784946237
ppo_cube_54001920_steps.zip,3,0.83,7.951807228915663
ppo_cube_54001920_steps.zip,5,0.74,17.472972972972972
ppo_cube_54001920_steps.zip,7,0.64,50.03125
ppo_cube_54001920_steps.zip,10,0.48,125.83333333333333
ppo_cube_54001920_steps.zip,12,0.45,156.9777777777778
ppo_cube_54001920_steps.zip,15,0.37,210.64864864864865
ppo_cube_54001920_steps.zip,17,0.37,223.56756756756758
ppo_cube_54001920_steps.zip,20,0.29,309.9310344827586
ppo_cube_54001920_steps.zip,25,0.17,657.4705882352941
ppo_cube_54801920_steps.zip,1,1.0,1.0
ppo_cube_54801920_steps.zip,2,0.92,1.7065217391304348
ppo_cube_54801920_steps.zip,3,0.93,2.2903225806451615
ppo_cube_54801920_steps.zip,5,0.71,20.04225352112676
ppo_cube_54801920_steps.zip,7,0.71,29.169014084507044
ppo_cube_54801920_steps.zip,10,0.55,81.0
ppo_cube_54801920_steps.zip,12,0.5,112.44
ppo_cube_54801920_steps.zip,15,0.36,220.94444444444446
ppo_cube_54801920_steps.zip,17,0.26,363.3076923076923
ppo_cube_54801920_steps.zip,20,0.25,394.48
ppo_cube_54801920_steps.zip,25,0.19,619.7368421052631
ppo_cube_55601920_steps.zip,1,1.0,1.0
ppo_cube_55601920_steps.zip,2,0.91,1.6043956043956045
ppo_cube_55601920_steps.zip,3,0.94,3.5851063829787235
ppo_cube_55601920_steps.zip,5,0.75,15.066666666666666
ppo_cube_55601920_steps.zip,7,0.62,56.95161290322581
ppo_cube_55601920_steps.zip,10,0.41,165.29268292682926
ppo_cube_55601920_steps.zip,12,0.44,146.97727272727272
ppo_cube_55601920_steps.zip,15,0.41,169.09756097560975
ppo_cube_55601920_steps.zip,17,0.27,360.25925925925924
ppo_cube_55601920_steps.zip,20,0.3,334.7
ppo_cube_55601920_steps.zip,25,0.21,533.047619047619
ppo_cube_56401920_steps.zip,1,1.0,1.0
ppo_cube_56401920_steps.zip,2,0.89,1.5730337078651686
ppo_cube_56401920_steps.zip,3,0.9,2.2
ppo_cube_56401920_steps.zip,5,0.75,25.026666666666667
ppo_cube_56401920_steps.zip,7,0.6,48.65
ppo_cube_56401920_steps.zip,10,0.54,106.88888888888889
ppo_cube_56401920_steps.zip,12,0.35,239.85714285714286
ppo_cube_56401920_steps.zip,15,0.38,205.55263157894737
ppo_cube_56401920_steps.zip,17,0.26,367.88461538461536
ppo_cube_56401920_steps.zip,20,0.14,871.9285714285714
ppo_cube_56401920_steps.zip,25,0.22,501.77272727272725
ppo_cube_57201920_steps.zip,1,1.0,1.0
ppo_cube_57201920_steps.zip,2,0.88,1.625
ppo_cube_57201920_steps.zip,3,0.92,1.9673913043478262
ppo_cube_57201920_steps.zip,5,0.75,17.173333333333332
ppo_cube_57201920_steps.zip,7,0.71,33.225352112676056
ppo_cube_57201920_steps.zip,10,0.48,131.85416666666666
ppo_cube_57201920_steps.zip,12,0.3,284.73333333333335
ppo_cube_57201920_steps.zip,15,0.33,272.5151515151515
ppo_cube_57201920_steps.zip,17,0.23,430.39130434782606
ppo_cube_57201920_steps.zip,20,0.25,395.4
ppo_cube_57201920_steps.zip,25,0.24,436.0
ppo_cube_58001920_steps.zip,1,1.0,1.0
ppo_cube_58001920_steps.zip,2,0.95,1.6105263157894736
ppo_cube_58001920_steps.zip,3,0.92,2.0869565217391304
ppo_cube_58001920_steps.zip,5,0.82,23.048780487804876
ppo_cube_58001920_steps.zip,7,0.58,70.8103448275862
ppo_cube_58001920_steps.zip,10,0.58,91.55172413793103
ppo_cube_58001920_steps.zip,12,0.35,227.02857142857144
ppo_cube_58001920_steps.zip,15,0.35,260.8857142857143
ppo_cube_58001920_steps.zip,17,0.33,289.42424242424244
ppo_cube_58001920_steps.zip,20,0.17,639.7647058823529
ppo_cube_58001920_steps.zip,25,0.2,514.0
ppo_cube_58801920_steps.zip,1,1.0,1.0
ppo_cube_58801920_steps.zip,2,0.9,1.6333333333333333
ppo_cube_58801920_steps.zip,3,0.84,2.2023809523809526
ppo_cube_58801920_steps.zip,5,0.74,19.41891891891892
ppo_cube_58801920_steps.zip,7,0.58,65.94827586206897
ppo_cube_58801920_steps.zip,10,0.52,99.40384615384616
ppo_cube_58801920_steps.zip,12,0.41,161.6341463414634
ppo_cube_58801920_steps.zip,15,0.4,187.7
ppo_cube_58801920_steps.zip,17,0.31,285.0967741935484
ppo_cube_58801920_steps.zip,20,0.25,417.56
ppo_cube_58801920_steps.zip,25,0.25,429.76
ppo_cube_59601920_steps.zip,1,1.0,1.0
ppo_cube_59601920_steps.zip,2,0.91,1.7362637362637363
ppo_cube_59601920_steps.zip,3,0.87,2.206896551724138
ppo_cube_59601920_steps.zip,5,0.8,10.1875
ppo_cube_59601920_steps.zip,7,0.57,64.49122807017544
ppo_cube_59601920_steps.zip,10,0.53,83.15094339622641
ppo_cube_59601920_steps.zip,12,0.37,199.94594594594594
ppo_cube_59601920_steps.zip,15,0.28,337.0357142857143
ppo_cube_59601920_steps.zip,17,0.31,276.48387096774195
ppo_cube_59601920_steps.zip,20,0.23,448.04347826086956
ppo_cube_59601920_steps.zip,25,0.2,537.75
ppo_cube_60401920_steps.zip,1,1.0,1.0
ppo_cube_60401920_steps.zip,2,0.94,1.6808510638297873
ppo_cube_60401920_steps.zip,3,0.89,2.438202247191011
ppo_cube_60401920_steps.zip,5,0.8,16.1375
ppo_cube_60401920_steps.zip,7,0.69,21.71014492753623
ppo_cube_60401920_steps.zip,10,0.6,76.36666666666666
ppo_cube_60401920_steps.zip,12,0.42,161.97619047619048
ppo_cube_60401920_steps.zip,15,0.26,356.96153846153845
ppo_cube_60401920_steps.zip,17,0.3,313.9
ppo_cube_60401920_steps.zip,20,0.31,327.38709677419354
ppo_cube_60401920_steps.zip,25,0.17,717.7647058823529
ppo_cube_61201920_steps.zip,1,1.0,1.0
ppo_cube_61201920_steps.zip,2,0.91,1.4835164835164836
ppo_cube_61201920_steps.zip,3,0.87,2.103448275862069
ppo_cube_61201920_steps.zip,5,0.74,19.33783783783784
ppo_cube_61201920_steps.zip,7,0.69,42.42028985507246
ppo_cube_61201920_steps.zip,10,0.47,116.0
ppo_cube_61201920_steps.zip,12,0.36,208.16666666666666
ppo_cube_61201920_steps.zip,15,0.28,280.89285714285717
ppo_cube_61201920_steps.zip,17,0.3,308.93333333333334
ppo_cube_61201920_steps.zip,20,0.2,537.55
ppo_cube_61201920_steps.zip,25,0.19,611.0
ppo_cube_62001920_steps.zip,1,1.0,1.0
ppo_cube_62001920_steps.zip,2,0.92,1.6195652173913044
ppo_cube_62001920_steps.zip,3,0.9,2.0555555555555554
ppo_cube_62001920_steps.zip,5,0.79,20.27848101265823
ppo_cube_62001920_steps.zip,7,0.71,45.478873239436616
ppo_cube_62001920_steps.zip,10,0.61,76.8360655737705
ppo_cube_62001920_steps.zip,12,0.28,299.75
ppo_cube_62001920_steps.zip,15,0.32,267.28125
ppo_cube_62001920_steps.zip,17,0.27,349.55555555555554
ppo_cube_62001920_steps.zip,20,0.22,494.77272727272725
ppo_cube_62001920_steps.zip,25,0.15,765.4
ppo_cube_62801920_steps.zip,1,1.0,1.0
ppo_cube_62801920_steps.zip,2,0.93,1.6989247311827957
ppo_cube_62801920_steps.zip,3,0.87,2.057471264367816
ppo_cube_62801920_steps.zip,5,0.78,16.602564102564102
ppo_cube_62801920_steps.zip,7,0.68,40.73529411764706
ppo_cube_62801920_steps.zip,10,0.54,97.98148148148148
ppo_cube_62801920_steps.zip,12,0.48,122.75
ppo_cube_62801920_steps.zip,15,0.36,237.22222222222223
ppo_cube_62801920_steps.zip,17,0.27,349.0
ppo_cube_62801920_steps.zip,20,0.21,483.6666666666667
ppo_cube_62801920_steps.zip,25,0.2,538.15
ppo_cube_63601920_steps.zip,1,1.0,1.0
ppo_cube_63601920_steps.zip,2,0.88,1.6590909090909092
ppo_cube_63601920_steps.zip,3,0.87,2.2413793103448274
ppo_cube_63601920_steps.zip,5,0.71,30.704225352112676
ppo_cube_63601920_steps.zip,7,0.65,47.15384615384615
ppo_cube_63601920_steps.zip,10,0.59,62.69491525423729
ppo_cube_63601920_steps.zip,12,0.32,216.28125
ppo_cube_63601920_steps.zip,15,0.27,343.2962962962963
ppo_cube_63601920_steps.zip,17,0.27,338.22222222222223
ppo_cube_63601920_steps.zip,20,0.26,396.11538461538464
ppo_cube_63601920_steps.zip,25,0.12,982.75
ppo_cube_64401920_steps.zip,1,1.0,1.0
ppo_cube_64401920_steps.zip,2,0.98,1.5612244897959184
ppo_cube_64401920_steps.zip,3,0.92,2.0652173913043477
ppo_cube_64401920_steps.zip,5,0.72,23.833333333333332
ppo_cube_64401920_steps.zip,7,0.7,37.52857142857143
ppo_cube_64401920_steps.zip,10,0.47,122.55319148936171
ppo_cube_64401920_steps.zip,12,0.44,150.61363636363637
ppo_cube_64401920_steps.zip,15,0.33,259.45454545454544
ppo_cube_64401920_steps.zip,17,0.29,320.2413793103448
ppo_cube_64401920_steps.zip,20,0.19,580.8947368421053
ppo_cube_64401920_steps.zip,25,0.21,525.047619047619
ppo_cube_65201920_steps.zip,1,1.0,1.0
ppo_cube_65201920_steps.zip,2,0.96,1.5833333333333333
ppo_cube_65201920_steps.zip,3,0.92,2.1956521739130435
ppo_cube_65201920_steps.zip,5,0.83,8.578313253012048
ppo_cube_65201920_steps.zip,7,0.67,46.014925373134325
ppo_cube_65201920_steps.zip,10,0.5,109.06
ppo_cube_65201920_steps.zip,12,0.39,170.10256410256412
ppo_cube_65201920_steps.zip,15,0.32,284.9375
ppo_cube_65201920_steps.zip,17,0.25,394.36
ppo_cube_65201920_steps.zip,20,0.28,342.5357142857143
ppo_cube_65201920_steps.zip,25,0.17,675.1764705882352
ppo_cube_66001920_steps.zip,1,1.0,1.0
ppo_cube_66001920_steps.zip,2,0.93,1.5913978494623655
ppo_cube_66001920_steps.zip,3,0.88,1.9772727272727273
ppo_cube_66001920_steps.zip,5,0.77,20.376623376623378
ppo_cube_66001920_steps.zip,7,0.61,55.278688524590166
ppo_cube_66001920_steps.zip,10,0.38,174.81578947368422
ppo_cube_66001920_steps.zip,12,0.39,202.82051282051282
ppo_cube_66001920_steps.zip,15,0.4,177.05
ppo_cube_66001920_steps.zip,17,0.3,308.7
ppo_cube_66001920_steps.zip,20,0.29,304.13793103448273
ppo_cube_66001920_steps.zip,25,0.2,574.65
ppo_cube_66801920_steps.zip,1,1.0,1.0
ppo_cube_66801920_steps.zip,2,0.94,1.5106382978723405
ppo_cube_66801920_steps.zip,3,0.94,1.9574468085106382
ppo_cube_66801920_steps.zip,5,0.82,15.78048780487805
ppo_cube_66801920_steps.zip,7,0.75,29.386666666666667
ppo_cube_66801920_steps.zip,10,0.48,110.22916666666667
ppo_cube_66801920_steps.zip,12,0.45,131.0222222222222
ppo_cube_66801920_steps.zip,15,0.33,254.54545454545453
ppo_cube_66801920_steps.zip,17,0.29,299.41379310344826
ppo_cube_66801920_steps.zip,20,0.22,455.8636363636364
ppo_cube_66801920_steps.zip,25,0.15,794.4666666666667
ppo_cube_67601920_steps.zip,1,1.0,1.0
ppo_cube_67601920_steps.zip,2,0.93,1.6021505376344085
ppo_cube_67601920_steps.zip,3,0.87,5.517241379310345
ppo_cube_67601920_steps.zip,5,0.81,15.753086419753087
ppo_cube_67601920_steps.zip,7,0.63,37.15873015873016
ppo_cube_67601920_steps.zip,10,0.61,70.04918032786885
ppo_cube_67601920_steps.zip,12,0.43,154.32558139534885
ppo_cube_67601920_steps.zip,15,0.39,212.12820512820514
ppo_cube_67601920_steps.zip,17,0.27,359.962962962963
ppo_cube_67601920_steps.zip,20,0.24,435.2916666666667
ppo_cube_67601920_steps.zip,25,0.25,412.52
ppo_cube_68401920_steps.zip,1,1.0,1.0
ppo_cube_68401920_steps.zip,2,0.95,1.568421052631579
ppo_cube_68401920_steps.zip,3,0.88,3.7613636363636362
ppo_cube_68401920_steps.zip,5,0.68,23.264705882352942
ppo_cube_68401920_steps.zip,7,0.72,38.43055555555556
ppo_cube_68401920_steps.zip,10,0.46,131.1304347826087
ppo_cube_68401920_steps.zip,12,0.35,202.45714285714286
ppo_cube_68401920_steps.zip,15,0.35,206.71428571428572
ppo_cube_68401920_steps.zip,17,0.25,388.32
ppo_cube_68401920_steps.zip,20,0.2,581.3
ppo_cube_68401920_steps.zip,25,0.23,461.4347826086956
ppo_cube_69201920_steps.zip,1,1.0,1.0
ppo_cube_69201920_steps.zip,2,0.92,1.5434782608695652
ppo_cube_69201920_steps.zip,3,0.86,3.7093023255813953
ppo_cube_69201920_steps.zip,5,0.82,11.731707317073171
ppo_cube_69201920_steps.zip,7,0.66,44.63636363636363
ppo_cube_69201920_steps.zip,10,0.51,112.23529411764706
ppo_cube_69201920_steps.zip,12,0.4,166.25
ppo_cube_69201920_steps.zip,15,0.33,271.75757575757575
ppo_cube_69201920_steps.zip,17,0.3,303.6
ppo_cube_69201920_steps.zip,20,0.28,331.75
ppo_cube_69201920_steps.zip,25,0.26,391.53846153846155
ppo_cube_70001920_steps.zip,1,1.0,1.0
ppo_cube_70001920_steps.zip,2,0.92,1.576086956521739
ppo_cube_70001920_steps.zip,3,0.9,2.1444444444444444
ppo_cube_70001920_steps.zip,5,0.77,18.441558441558442
ppo_cube_70001920_steps.zip,7,0.65,49.61538461538461
ppo_cube_70001920_steps.zip,10,0.53,108.84905660377359
ppo_cube_70001920_steps.zip,12,0.36,217.61111111111111
ppo_cube_70001920_steps.zip,15,0.33,249.66666666666666
ppo_cube_70001920_steps.zip,17,0.27,349.6666666666667
ppo_cube_70001920_steps.zip,20,0.26,390.2307692307692
ppo_cube_70001920_steps.zip,25,0.21,505.42857142857144
ppo_cube_70801920_steps.zip,1,1.0,1.0
ppo_cube_70801920_steps.zip,2,0.93,1.5161290322580645
ppo_cube_70801920_steps.zip,3,0.91,2.2527472527472527
ppo_cube_70801920_steps.zip,5,0.75,21.16
ppo_cube_70801920_steps.zip,7,0.71,35.16901408450704
ppo_cube_70801920_steps.zip,10,0.48,122.33333333333333
ppo_cube_70801920_steps.zip,12,0.41,172.41463414634146
ppo_cube_70801920_steps.zip,15,0.3,299.3
ppo_cube_70801920_steps.zip,17,0.42,168.61904761904762
ppo_cube_70801920_steps.zip,20,0.24,454.3333333333333
ppo_cube_70801920_steps.zip,25,0.22,501.90909090909093
ppo_cube_71601920_steps.zip,1,1.0,1.0
ppo_cube_71601920_steps.zip,2,0.95,1.568421052631579
ppo_cube_71601920_steps.zip,3,0.91,1.934065934065934
ppo_cube_71601920_steps.zip,5,0.8,16.15
ppo_cube_71601920_steps.zip,7,0.62,54.725806451612904
ppo_cube_71601920_steps.zip,10,0.53,102.66037735849056
ppo_cube_71601920_steps.zip,12,0.4,184.425
ppo_cube_71601920_steps.zip,15,0.31,279.7096774193548
ppo_cube_71601920_steps.zip,17,0.27,398.44444444444446
ppo_cube_71601920_steps.zip,20,0.25,406.12
ppo_cube_71601920_steps.zip,25,0.2,551.85
ppo_cube_72401920_steps.zip,1,1.0,1.0
ppo_cube_72401920_steps.zip,2,0.97,1.5360824742268042
ppo_cube_72401920_steps.zip,3,0.91,3.6153846153846154
ppo_cube_72401920_steps.zip,5,0.82,15.939024390243903
ppo_cube_72401920_steps.zip,7,0.63,55.904761904761905
ppo_cube_72401920_steps.zip,10,0.52,110.53846153846153
ppo_cube_72401920_steps.zip,12,0.41,180.2439024390244
ppo_cube_72401920_steps.zip,15,0.3,280.6666666666667
ppo_cube_72401920_steps.zip,17,0.31,299.51612903225805
ppo_cube_72401920_steps.zip,20,0.22,474.95454545454544
ppo_cube_72401920_steps.zip,25,0.22,476.0
ppo_cube_73201920_steps.zip,1,1.0,1.0
ppo_cube_73201920_steps.zip,2,0.92,1.565217391304348
ppo_cube_73201920_steps.zip,3,0.94,2.117021276595745
ppo_cube_73201920_steps.zip,5,0.75,21.386666666666667
ppo_cube_73201920_steps.zip,7,0.72,36.916666666666664
ppo_cube_73201920_steps.zip,10,0.51,112.66666666666667
ppo_cube_73201920_steps.zip,12,0.42,172.28571428571428
ppo_cube_73201920_steps.zip,15,0.32,258.28125
ppo_cube_73201920_steps.zip,17,0.24,423.6666666666667
ppo_cube_73201920_steps.zip,20,0.27,380.6666666666667
ppo_cube_73201920_steps.zip,25,0.19,588.0526315789474
ppo_cube_74001920_steps.zip,1,1.0,1.0
ppo_cube_74001920_steps.zip,2,0.94,1.5638297872340425
ppo_cube_74001920_steps.zip,3,0.93,2.064516129032258
ppo_cube_74001920_steps.zip,5,0.86,16.406976744186046
ppo_cube_74001920_steps.zip,7,0.6,51.15
ppo_cube_74001920_steps.zip,10,0.41,172.4390243902439
ppo_cube_74001920_steps.zip,12,0.37,214.8918918918919
ppo_cube_74001920_steps.zip,15,0.36,225.86111111111111
ppo_cube_74001920_steps.zip,17,0.27,381.3333333333333
ppo_cube_74001920_steps.zip,20,0.23,455.30434782608694
ppo_cube_74001920_steps.zip,25,0.19,611.3157894736842
ppo_cube_74801920_steps.zip,1,1.0,1.0
ppo_cube_74801920_steps.zip,2,0.95,1.6631578947368422
ppo_cube_74801920_steps.zip,3,0.9,2.1444444444444444
ppo_cube_74801920_steps.zip,5,0.83,10.204819277108435
ppo_cube_74801920_steps.zip,7,0.76,25.144736842105264
ppo_cube_74801920_steps.zip,10,0.54,109.24074074074075
ppo_cube_74801920_steps.zip,12,0.34,251.08823529411765
ppo_cube_74801920_steps.zip,15,0.47,141.31914893617022
ppo_cube_74801920_steps.zip,17,0.28,352.17857142857144
ppo_cube_74801920_steps.zip,20,0.19,565.3684210526316
ppo_cube_74801920_steps.zip,25,0.26,396.0
ppo_cube_75601920_steps.zip,1,1.0,1.0
ppo_cube_75601920_steps.zip,2,0.93,1.6559139784946237
ppo_cube_75601920_steps.zip,3,0.87,2.0804597701149423
ppo_cube_75601920_steps.zip,5,0.81,14.135802469135802
ppo_cube_75601920_steps.zip,7,0.7,41.871428571428574
ppo_cube_75601920_steps.zip,10,0.55,99.30909090909091
ppo_cube_75601920_steps.zip,12,0.49,141.24489795918367
ppo_cube_75601920_steps.zip,15,0.35,231.68571428571428
ppo_cube_75601920_steps.zip,17,0.29,303.7241379310345
ppo_cube_75601920_steps.zip,20,0.17,658.7058823529412
ppo_cube_75601920_steps.zip,25,0.2,559.25
ppo_cube_76401920_steps.zip,1,1.0,1.0
ppo_cube_76401920_steps.zip,2,0.92,1.5434782608695652
ppo_cube_76401920_steps.zip,3,0.82,4.182926829268292
ppo_cube_76401920_steps.zip,5,0.82,19.597560975609756
ppo_cube_76401920_steps.zip,7,0.68,47.3235294117647
ppo_cube_76401920_steps.zip,10,0.53,108.56603773584905
ppo_cube_76401920_steps.zip,12,0.45,134.66666666666666
ppo_cube_76401920_steps.zip,15,0.34,246.05882352941177
ppo_cube_76401920_steps.zip,17,0.28,336.0
ppo_cube_76401920_steps.zip,20,0.18,613.4444444444445
ppo_cube_76401920_steps.zip,25,0.17,632.0
ppo_cube_77201920_steps.zip,1,1.0,1.0
